Word,Rating 1,Rating 2,Rating 3,consensus,mean_rating,max_disagreement,word_lower,tfidf_score,tfidf_category
airfoil,1,2,2,2,1.6666666666666667,1,airfoil,45.779359,3
pneumatic,2,2,3,2,2.3333333333333335,1,pneumatic,45.534603,3
clearance,2,2,1,2,1.6666666666666667,1,clearance,45.209725,3
manifold,2,2,,2,2.0,0,manifold,45.130953,3
circumferential,2,2,2,2,2.0,0,circumferential,44.702239,3
alodine,2,2,,2,2.0,0,alodine,44.611986,3
generator,2,2,2,2,2.0,0,generator,44.594022,3
booster,1,1,2,1,1.3333333333333333,1,booster,44.535941,3
penetrant,2,2,2,2,2.0,0,penetrant,43.980607,3
starter,2,2,2,2,2.0,0,starter,43.893995,3
exhaust,2,2,2,2,2.0,0,exhaust,43.820433,3
thrust,2,1,2,2,1.6666666666666667,1,thrust,43.784519,3
alternator,2,2,2,2,2.0,0,alternator,43.616016,3
shopvisit,2,2,1,2,1.6666666666666667,1,shopvisit,43.507234,3
bearing,2,2,2,2,2.0,0,bearing,43.257297,3
aircraft,1,1,1,1,1.0,0,aircraft,41.839853,3
fan,2,1,1,1,1.3333333333333333,1,fan,41.744862,3
engine,2,2,2,2,2.0,0,engine,41.6457,3
bolthead,2,2,2,2,2.0,0,bolthead,41.114573,3
ignitor,2,2,2,2,2.0,0,ignitor,40.986234,3
indicator,4,3,3,3,3.3333333333333335,1,indicator,40.776856,3
bulletin,4,4,4,4,4.0,0,bulletin,39.928311,3
dimensional,4,4,3,4,3.6666666666666665,1,dimensional,39.387266,3
pawl,2,,2,2,2.0,0,pawl,39.338055,3
regulator,2,3,2,2,2.3333333333333335,1,regulator,39.03018,3
convex,2,2,3,2,2.3333333333333335,1,convex,38.949276,3
radial,2,3,2,2,2.3333333333333335,1,radial,38.838958,3
torque,2,2,2,2,2.0,0,torque,38.619713,3
servo,2,2,2,2,2.0,0,servo,38.611792,3
reinspection,2,2,2,2,2.0,0,reinspection,37.560759,3
inlet,2,2,2,2,2.0,0,inlet,37.52942,3
electrical,3,4,4,4,3.6666666666666665,1,electrical,37.525575,3
finding,3,3,3,3,3.0,0,finding,37.094075,3
arrestor,1,2,,1,1.5,1,arrestor,36.384702,3
lubrication,2,2,2,2,2.0,0,lubrication,35.586744,3
outerskin,2,2,3,2,2.3333333333333335,1,outerskin,34.990223,3
bumperseal,,2,2,2,2.0,0,bumperseal,34.990223,3
cowl,3,4,3,3,3.3333333333333335,1,cowl,34.915617,3
unserviceable,2,1,1,1,1.3333333333333333,1,unserviceable,34.793731,3
combustion,2,2,2,2,2.0,0,combustion,34.321222,3
lanyard,2,2,2,2,2.0,0,lanyard,34.316376,3
bushings,2,2,2,2,2.0,0,bushings,33.748512,3
labyrinth,4,3,4,4,3.6666666666666665,1,labyrinth,33.106319,3
nipple,2,2,2,2,2.0,0,nipple,32.885438,3
splitter,,1,2,1,1.5,1,splitter,32.857523,3
rivet,2,2,2,2,2.0,0,rivet,32.458511,3
spacer,2,2,,2,2.0,0,spacer,32.003886,3
reverser,3,3,4,3,3.3333333333333335,1,reverser,31.741535,3
core,4,4,4,4,4.0,0,core,31.688814,3
adapter,4,4,3,4,3.6666666666666665,1,adapter,31.410945,3
exchanger,2,2,2,2,2.0,0,exchanger,31.023432,3
retainer,2,2,2,2,2.0,0,retainer,30.639382,3
boltholes,2,2,2,2,2.0,0,boltholes,30.15799,3
isolator,3,3,2,3,2.6666666666666665,1,isolator,30.105687,3
chord,1,1,2,1,1.3333333333333333,1,chord,28.684897,3
receptacle,2,,2,2,2.0,0,receptacle,28.290031,3
bypass,1,1,3,1,1.6666666666666667,2,bypass,28.255987,3
jobcard,1,2,1,1,1.3333333333333333,1,jobcard,28.229892,3
boostervane,2,2,2,2,2.0,0,boostervane,28.229892,3
nozzles,2,2,2,2,2.0,0,nozzles,27.083864,3
interlock,2,2,2,2,2.0,0,interlock,26.704149,3
anodizing,2,2,2,2,2.0,0,anodizing,26.135113,3
specification,3,3,3,3,3.0,0,specification,26.090266,3
shim,2,2,2,2,2.0,0,shim,25.994124,3
spool,2,2,2,2,2.0,0,spool,25.878474,3
sulphidation,2,2,2,2,2.0,0,sulphidation,25.504877,3
ceramic,4,4,4,4,4.0,0,ceramic,25.312083,3
disbonding,2,2,2,2,2.0,0,disbonding,25.196179,3
anodized,2,2,2,2,2.0,0,anodized,25.074253,3
swirler,2,2,,2,2.0,0,swirler,24.509667,4
pylon,2,2,2,2,2.0,0,pylon,24.181467,4
polytetrafluoroethylene,2,2,2,2,2.0,0,polytetrafluoroethylene,24.080594,4
tooling,3,2,2,2,2.3333333333333335,1,tooling,23.971381,4
cotter,2,2,,2,2.0,0,cotter,23.865327,4
delamination,2,2,2,2,2.0,0,delamination,23.850228,4
stud,2,2,2,2,2.0,0,stud,23.581908,4
bellcrank,2,,2,2,2.0,0,bellcrank,22.649555,4
air,4,4,4,4,4.0,0,air,21.887453,4
dovetail,3,4,,3,3.5,1,dovetail,21.873948,4
birdstrike,3,3,3,3,3.0,0,birdstrike,21.861626,4
concentricity,,2,2,2,2.0,0,concentricity,21.675379,4
dampeners,2,2,2,2,2.0,0,dampeners,21.414379,4
titanium,2,2,2,2,2.0,0,titanium,21.359477,4
burr,2,2,,2,2.0,0,burr,20.825158,4
hangar,1,1,2,1,1.3333333333333333,1,hangar,20.667503,4
disassembly,2,3,2,2,2.3333333333333335,1,disassembly,20.659404,4
corrective,4,4,4,4,4.0,0,corrective,20.640979,4
overhaul,2,3,2,2,2.3333333333333335,1,overhaul,20.553014,4
airworthiness,1,1,1,1,1.0,0,airworthiness,20.520984,4
protrusion,,4,,4,4.0,0,protrusion,20.33007,4
unscheduled,4,4,4,4,4.0,0,unscheduled,20.064206,4
boeing,1,1,1,1,1.0,0,boeing,19.869668,4
hanger,2,1,1,1,1.3333333333333333,1,hanger,19.793403,4
pilot,1,1,1,1,1.0,0,pilot,19.445644,4
pigtail,2,3,2,2,2.3333333333333335,1,pigtail,19.233852,4
blades,1,1,2,1,1.3333333333333333,1,blades,18.829868,4
fretting,2,2,,2,2.0,0,fretting,18.653465,4
deflection,2,2,2,2,2.0,0,deflection,18.582369,4
elastomer,2,2,2,2,2.0,0,elastomer,18.301901,4
tubing,3,2,2,2,2.3333333333333335,1,tubing,18.061064,4
grooving,3,2,2,2,2.3333333333333335,1,grooving,18.031309,4
baffle,2,2,2,2,2.0,0,baffle,17.534002,4
fillet,2,2,,2,2.0,0,fillet,17.348901,4
scallop,4,4,4,4,4.0,0,scallop,16.837333,4
rib,2,2,2,2,2.0,0,rib,16.833976,4
structural,3,3,3,3,3.0,0,structural,16.750849,4
aerodrome,1,1,1,1,1.0,0,aerodrome,16.634591,4
arrival,4,4,4,4,4.0,0,arrival,16.473727,4
blistering,2,2,3,2,2.3333333333333335,1,blistering,15.622715,4
honeycomb,2,1,1,1,1.3333333333333333,1,honeycomb,15.357062,4
skydrol,1,1,1,1,1.0,0,skydrol,15.286735,4
helicoil,,2,2,2,2.0,0,helicoil,14.881269,4
aviation,3,3,4,3,3.3333333333333335,1,aviation,14.85363,4
casing,3,4,3,3,3.3333333333333335,1,casing,14.574743,4
lockring,2,3,2,2,2.3333333333333335,1,lockring,14.475804,4
tedlar,2,,,2,2.0,0,tedlar,13.90044,4
midspan,2,2,1,2,1.6666666666666667,1,midspan,13.271832,4
sleeving,2,2,,2,2.0,0,sleeving,13.239042,4
chaffing,2,2,3,2,2.3333333333333335,1,chaffing,13.239042,4
unthreaded,2,2,2,2,2.0,0,unthreaded,13.035443,4
locknut,2,2,2,2,2.0,0,locknut,12.935359,4
wing,4,4,3,4,3.6666666666666665,1,wing,12.66687,4
flight,1,1,1,1,1.0,0,flight,11.990911,4
grommet,,,2,2,2.0,0,grommet,11.990898,4
desiccant,3,3,,3,3.0,0,desiccant,11.717202,4
pressurisation,2,2,2,2,2.0,0,pressurisation,11.696295,4
discolouration,2,2,2,2,2.0,0,discolouration,11.045408,4
impingement,3,,2,3,2.5,1,impingement,10.686577,4
familiarization,4,4,3,4,3.6666666666666665,1,familiarization,10.604603,4
cavitation,2,2,2,2,2.0,0,cavitation,10.586254,4
driveshaft,2,2,2,2,2.0,0,driveshaft,10.36858,4
birdcage,,,1,1,1.0,0,birdcage,10.296302,4
actuation,2,2,2,2,2.0,0,actuation,10.25957,4
nacelle,1,2,2,2,1.6666666666666667,1,nacelle,10.106356,4
vanes,2,2,2,2,2.0,0,vanes,10.102146,4
inflight,1,1,1,1,1.0,0,inflight,10.067731,4
placard,4,,4,4,4.0,0,placard,9.978467,4
conformance,3,3,3,3,3.0,0,conformance,9.881807,4
camber,2,1,1,1,1.3333333333333333,1,camber,9.833552,4
extinguisher,3,3,4,3,3.3333333333333335,1,extinguisher,9.807138,4
couplings,3,2,2,2,2.3333333333333335,1,couplings,9.740581,4
buckles,2,2,2,2,2.0,0,buckles,9.722214,4
separator,3,4,3,3,3.3333333333333335,1,separator,9.572177,4
locator,2,2,3,2,2.3333333333333335,1,locator,9.491437,4
loosening,3,2,2,2,2.3333333333333335,1,loosening,9.472604,4
centerline,2,2,2,2,2.0,0,centerline,9.468136,4
fairing,2,2,2,2,2.0,0,fairing,9.413209,4
irreparable,3,3,3,3,3.0,0,irreparable,9.397164,4
rework,4,4,3,4,3.6666666666666665,1,rework,9.253648,4
airspeed,1,1,1,1,1.0,0,airspeed,9.207374,4
passenger,4,4,4,4,4.0,0,passenger,9.167162,4
hinge,2,3,2,2,2.3333333333333335,1,hinge,8.848983,4
millimeter,4,4,4,4,4.0,0,millimeter,8.742463,4
burner,2,2,3,2,2.3333333333333335,1,burner,8.604939,4
quadrant,3,3,,3,3.0,0,quadrant,8.305264,4
deformation,2,2,2,2,2.0,0,deformation,8.301324,4
circumference,2,2,2,2,2.0,0,circumference,8.280266,4
pedestal,4,4,4,4,4.0,0,pedestal,8.054363,4
grooves,4,4,4,4,4.0,0,grooves,7.918395,4
collar,4,4,4,4,4.0,0,collar,7.055358,4
composite,2,2,3,2,2.3333333333333335,1,composite,6.722515,4
certificate,4,3,4,4,3.6666666666666665,1,certificate,6.121365,4
