term,raw_count_domain,tf,df_wikipedia,idf,tfidf_score,in_wikipedia,below_min_df,domain_score
brescope,1,1.0,0,16.673029,16.673029,false,false,90
gaspath,1,1.0,0,16.673029,16.673029,false,false,90
metco,1,1.0,38,13.009467,13.009467,true,false,90
airspeed,1,1.0,1746,9.207374,9.207374,true,false,90
tipclearance,51,4.931826,0,16.673029,82.228471,false,false,88
thrustlink,28,4.332205,0,16.673029,72.230971,false,false,88
boroscope,14,3.639057,3,15.286735,55.629303,true,true,88
combuster,12,3.484907,7,14.593587,50.85729,true,false,88
tipcurl,6,2.791759,0,16.673029,46.547086,false,false,88
fuelmanifold,2,1.693147,0,16.673029,28.229892,false,false,88
trustlink,2,1.693147,0,16.673029,28.229892,false,false,88
tiprub,2,1.693147,0,16.673029,28.229892,false,false,88
sfcm,2,1.693147,10,14.275134,24.169902,true,false,88
faninlet,1,1.0,0,16.673029,16.673029,false,false,88
birdgace,1,1.0,0,16.673029,16.673029,false,false,88
fanmodule,1,1.0,0,16.673029,16.673029,false,false,88
precoolervalve,1,1.0,0,16.673029,16.673029,false,false,88
restrictioniaw,1,1.0,0,16.673029,16.673029,false,false,88
tipshrouds,1,1.0,0,16.673029,16.673029,false,false,88
upperbleed,1,1.0,0,16.673029,16.673029,false,false,88
fanblades,1,1.0,1,15.979882,15.979882,true,true,88
fairing,1,1.0,1421,9.413209,9.413209,true,false,88
abradable,320,6.768321,11,14.188122,96.029766,true,false,85
starterduct,20,3.995732,0,16.673029,66.62096,false,false,85
exiter,24,4.178054,4,15.063591,62.936494,true,true,85
precooler,27,4.295837,10,14.275134,61.323645,true,false,85
guidepad,8,3.079442,0,16.673029,51.343618,false,false,85
sprayshield,8,3.079442,2,15.574417,47.960505,true,true,85
frontcone,6,2.791759,0,16.673029,46.547086,false,false,85
borescoop,6,2.791759,0,16.673029,46.547086,false,false,85
boroscoop,6,2.791759,0,16.673029,46.547086,false,false,85
flowcheck,6,2.791759,1,15.979882,44.611986,true,true,85
thrust,154,6.036953,12335,7.252752,43.784519,true,false,85
shopvisit,5,2.609438,0,16.673029,43.507234,false,false,85
oclock,8,3.079442,23,13.494975,41.556987,true,false,85
exciterboxe,4,2.386294,0,16.673029,39.786755,false,false,85
arrestor,10,3.302585,285,11.017037,36.384702,true,false,85
bumperseal,3,2.098612,0,16.673029,34.990223,false,false,85
cowl,14,3.639057,1185,9.594687,34.915617,true,false,85
reverser,6,2.791759,200,11.369724,31.741535,true,false,85
chord,18,3.890372,10934,7.373305,28.684897,true,false,85
clockposition,2,1.693147,0,16.673029,28.229892,false,false,85
strutpanel,2,1.693147,0,16.673029,28.229892,false,false,85
thrusth,2,1.693147,0,16.673029,28.229892,false,false,85
trusth,2,1.693147,0,16.673029,28.229892,false,false,85
oilcoking,2,1.693147,0,16.673029,28.229892,false,false,85
blendrepair,2,1.693147,0,16.673029,28.229892,false,false,85
swirler,2,1.693147,8,14.475804,24.509667,true,false,85
pylon,5,2.609438,1645,9.266926,24.181467,true,false,85
trimpin,2,1.693147,23,13.494975,22.848979,true,false,85
bird,14,3.639057,73533,5.467526,19.89664,true,false,85
pilot,14,3.639057,83235,5.343594,19.445644,true,false,85
doubler,2,1.693147,203,11.354909,19.225532,true,false,85
heli,2,1.693147,847,9.930148,16.813203,true,false,85
nosegill,1,1.0,0,16.673029,16.673029,false,false,85
sealwire,1,1.0,0,16.673029,16.673029,false,false,85
igniterside,1,1.0,0,16.673029,16.673029,false,false,85
abradabe,1,1.0,0,16.673029,16.673029,false,false,85
bladeshave,1,1.0,0,16.673029,16.673029,false,false,85
fanframe,1,1.0,0,16.673029,16.673029,false,false,85
strutpanels,1,1.0,0,16.673029,16.673029,false,false,85
fanblad,1,1.0,0,16.673029,16.673029,false,false,85
exiterbox,1,1.0,0,16.673029,16.673029,false,false,85
repairablelimit,1,1.0,0,16.673029,16.673029,false,false,85
tubeservo,1,1.0,0,16.673029,16.673029,false,false,85
findinglpc,1,1.0,0,16.673029,16.673029,false,false,85
trhust,1,1.0,0,16.673029,16.673029,false,false,85
stotor,1,1.0,0,16.673029,16.673029,false,false,85
xcrack,1,1.0,0,16.673029,16.673029,false,false,85
iceduct,1,1.0,0,16.673029,16.673029,false,false,85
scavence,1,1.0,0,16.673029,16.673029,false,false,85
savenge,1,1.0,0,16.673029,16.673029,false,false,85
birdremain,1,1.0,0,16.673029,16.673029,false,false,85
servicelimit,1,1.0,0,16.673029,16.673029,false,false,85
atexciter,1,1.0,0,16.673029,16.673029,false,false,85
antiice,1,1.0,0,16.673029,16.673029,false,false,85
antieice,1,1.0,0,16.673029,16.673029,false,false,85
forengine,1,1.0,0,16.673029,16.673029,false,false,85
gevlogen,1,1.0,0,16.673029,16.673029,false,false,85
startduct,1,1.0,0,16.673029,16.673029,false,false,85
tipclearane,1,1.0,0,16.673029,16.673029,false,false,85
aftside,1,1.0,1,15.979882,15.979882,true,true,85
ebris,1,1.0,1,15.979882,15.979882,true,true,85
inlb,1,1.0,3,15.286735,15.286735,true,true,85
aviation,5,2.609438,58732,5.692272,14.85363,true,false,85
fandisk,1,1.0,7,14.593587,14.593587,true,false,85
axiak,1,1.0,8,14.475804,14.475804,true,false,85
idisk,1,1.0,8,14.475804,14.475804,true,false,85
fedec,1,1.0,10,14.275134,14.275134,true,false,85
tedlar,1,1.0,15,13.90044,13.90044,true,false,85
egine,1,1.0,18,13.72859,13.72859,true,false,85
midspan,1,1.0,29,13.271832,13.271832,true,false,85
lfu,1,1.0,32,13.176521,13.176521,true,false,85
wing,5,2.609438,135777,4.854252,12.66687,true,false,85
omn,1,1.0,73,12.368964,12.368964,true,false,85
flight,4,2.386294,114475,5.024908,11.990911,true,false,85
pilon,1,1.0,519,10.4192,10.4192,true,false,85
inflight,1,1.0,738,10.067731,10.067731,true,false,85
camber,1,1.0,933,9.833552,9.833552,true,false,85
stag,1,1.0,3231,8.592172,8.592172,true,false,85
disbanding,1,1.0,5869,7.995419,7.995419,true,false,85
feather,1,1.0,8581,7.615607,7.615607,true,false,85
exciterbox,37,4.610918,0,16.673029,76.877968,false,false,84
fanblade,179,6.187386,3,15.286735,94.584924,true,true,82
testcell,20,3.995732,0,16.673029,66.62096,false,false,82
bleed,503,7.22059,3951,8.391052,60.588346,true,false,82
spinner,169,6.129899,3258,8.583853,52.618151,true,false,82
testrun,8,3.079442,0,16.673029,51.343618,false,false,82
blendable,9,3.197225,6,14.727119,47.085906,true,false,82
igniterplug,6,2.791759,0,16.673029,46.547086,false,false,82
rotor,92,5.521789,4075,8.360158,46.163022,true,false,82
inspectionlot,5,2.609438,0,16.673029,43.507234,false,false,82
burnspot,4,2.386294,0,16.673029,39.786755,false,false,82
outerskin,3,2.098612,0,16.673029,34.990223,false,false,82
photofolder,2,1.693147,0,16.673029,28.229892,false,false,82
safetywire,2,1.693147,0,16.673029,28.229892,false,false,82
fanduct,2,1.693147,0,16.673029,28.229892,false,false,82
withamm,2,1.693147,0,16.673029,28.229892,false,false,82
innerliner,2,1.693147,3,15.286735,25.882691,true,true,82
hanger,3,2.098612,1395,9.431663,19.793403,true,false,82
rib,3,2.098612,5718,8.02148,16.833976,true,false,82
fwdseal,1,1.0,0,16.673029,16.673029,false,false,82
startervalve,1,1.0,0,16.673029,16.673029,false,false,82
fanpanel,1,1.0,0,16.673029,16.673029,false,false,82
contaimentcase,1,1.0,0,16.673029,16.673029,false,false,82
fancable,1,1.0,0,16.673029,16.673029,false,false,82
fuelheater,1,1.0,0,16.673029,16.673029,false,false,82
fueldiff,1,1.0,0,16.673029,16.673029,false,false,82
fromengine,1,1.0,0,16.673029,16.673029,false,false,82
tipworn,1,1.0,0,16.673029,16.673029,false,false,82
coremodule,1,1.0,0,16.673029,16.673029,false,false,82
cyclesacc,1,1.0,0,16.673029,16.673029,false,false,82
trimbalance,1,1.0,0,16.673029,16.673029,false,false,82
tipcrack,1,1.0,0,16.673029,16.673029,false,false,82
ignitionlead,1,1.0,0,16.673029,16.673029,false,false,82
iginitor,1,1.0,0,16.673029,16.673029,false,false,82
fiveblade,1,1.0,0,16.673029,16.673029,false,false,82
somevane,1,1.0,0,16.673029,16.673029,false,false,82
missingteflon,1,1.0,0,16.673029,16.673029,false,false,82
oilscavenge,1,1.0,0,16.673029,16.673029,false,false,82
nozl,1,1.0,1,15.979882,15.979882,true,true,82
unservicable,1,1.0,1,15.979882,15.979882,true,true,82
ferro,1,1.0,3293,8.573171,8.573171,true,false,82
fin,1,1.0,16082,6.987511,6.987511,true,false,82
lockwire,48,4.871201,3,15.286735,74.464757,true,true,81
inlimit,3,2.098612,0,16.673029,34.990223,false,false,80
fuelpackage,2,1.693147,0,16.673029,28.229892,false,false,80
bladest,1,1.0,0,16.673029,16.673029,false,false,80
areo,1,1.0,54,12.665696,12.665696,true,false,80
borescope,323,6.777652,25,13.414932,90.921747,true,false,78
scavenge,192,6.257495,813,9.971069,62.393915,true,false,78
igniter,88,5.477337,239,11.19239,61.30449,true,false,78
turnbuckle,57,5.043051,444,10.574955,53.330038,true,false,78
servo,22,4.091042,1386,9.43813,38.611792,true,false,78
exciterside,2,1.693147,0,16.673029,28.229892,false,false,78
spool,5,2.609438,858,9.91726,25.878474,true,false,78
oilcooler,1,1.0,0,16.673029,16.673029,false,false,78
serviceablecondition,1,1.0,0,16.673029,16.673029,false,false,78
schroud,16,3.772589,1,15.979882,60.285522,true,true,75
scavange,14,3.639057,1,15.979882,58.151706,true,true,75
turbine,815,7.703188,10192,7.443572,57.339238,true,false,75
oiltank,8,3.079442,3,15.286735,47.074605,true,true,75
abredable,6,2.791759,0,16.673029,46.547086,false,false,75
manifold,89,5.488636,4676,8.222617,45.130953,true,false,75
ignitor,10,3.302585,70,12.410349,40.986234,true,false,75
pawl,13,3.564949,280,11.034674,39.338055,true,false,75
exentricity,4,2.386294,1,15.979882,38.132702,true,true,75
lockpin,3,2.098612,0,16.673029,34.990223,false,false,75
unserviceable,10,3.302585,462,10.535302,34.793731,true,false,75
labyrinth,21,4.044522,4853,8.185471,33.106319,true,false,75
trailing,33,4.496508,12326,7.253482,32.615335,true,false,75
servicable,3,2.098612,15,13.90044,29.171635,true,false,75
jobcard,2,1.693147,0,16.673029,28.229892,false,false,75
unbondend,2,1.693147,0,16.673029,28.229892,false,false,75
axialcrack,2,1.693147,0,16.673029,28.229892,false,false,75
nozzles,6,2.791759,1065,9.70136,27.083864,true,false,75
rodend,2,1.693147,1,15.979882,27.056292,true,true,75
anodizing,3,2.098612,67,12.453521,26.135113,true,false,75
sulphidation,2,1.693147,4,15.063591,25.504877,true,true,75
disbonding,2,1.693147,5,14.881269,25.196179,true,false,75
nicks,5,2.609438,1554,9.323798,24.329872,true,false,75
cotter,5,2.609438,1857,9.145773,23.865327,true,false,75
concentricity,2,1.693147,47,12.801828,21.675379,true,false,75
pigtail,2,1.693147,202,11.359823,19.233852,true,false,75
blades,5,2.609438,12796,7.216063,18.829868,true,false,75
baffle,2,1.693147,553,10.355864,17.534002,true,false,75
scallop,2,1.693147,835,9.9444,16.837333,true,false,75
fuelnozzle,1,1.0,0,16.673029,16.673029,false,false,75
vlve,1,1.0,0,16.673029,16.673029,false,false,75
samenozzle,1,1.0,0,16.673029,16.673029,false,false,75
blendabel,1,1.0,0,16.673029,16.673029,false,false,75
straterduct,1,1.0,0,16.673029,16.673029,false,false,75
clockpos,1,1.0,0,16.673029,16.673029,false,false,75
heatexhanger,1,1.0,0,16.673029,16.673029,false,false,75
andradial,1,1.0,0,16.673029,16.673029,false,false,75
sparkside,1,1.0,0,16.673029,16.673029,false,false,75
bootseal,1,1.0,0,16.673029,16.673029,false,false,75
sidefan,1,1.0,0,16.673029,16.673029,false,false,75
drainetube,1,1.0,0,16.673029,16.673029,false,false,75
andfuel,1,1.0,0,16.673029,16.673029,false,false,75
pawlpin,1,1.0,0,16.673029,16.673029,false,false,75
paneldoor,1,1.0,0,16.673029,16.673029,false,false,75
arbox,1,1.0,0,16.673029,16.673029,false,false,75
teflonseal,1,1.0,0,16.673029,16.673029,false,false,75
transportstand,1,1.0,0,16.673029,16.673029,false,false,75
ingiter,1,1.0,1,15.979882,15.979882,true,true,75
dispatch,3,2.098612,10051,7.457502,15.650405,true,false,75
honeycomb,2,1.693147,2003,9.070128,15.357062,true,false,75
cleavis,1,1.0,3,15.286735,15.286735,true,true,75
blde,1,1.0,4,15.063591,15.063591,true,true,75
hydrolic,1,1.0,5,14.881269,14.881269,true,false,75
helicoil,1,1.0,5,14.881269,14.881269,true,false,75
fuelsystem,1,1.0,6,14.727119,14.727119,true,false,75
toolmark,1,1.0,7,14.593587,14.593587,true,false,75
lockring,1,1.0,8,14.475804,14.475804,true,false,75
centerlink,1,1.0,12,14.10808,14.10808,true,false,75
nose,3,2.098612,28007,6.432783,13.499918,true,false,75
blending,2,1.693147,6856,7.840004,13.27428,true,false,75
inservice,1,1.0,44,12.866366,12.866366,true,false,75
viton,1,1.0,74,12.355541,12.355541,true,false,75
vibro,1,1.0,106,12.0002,12.0002,true,false,75
pressurisation,1,1.0,144,11.696295,11.696295,true,false,75
cavitation,1,1.0,439,10.586254,10.586254,true,false,75
birdcage,1,1.0,587,10.296302,10.296302,true,false,75
vanes,1,1.0,713,10.102146,10.102146,true,false,75
placard,1,1.0,807,9.978467,9.978467,true,false,75
electrode,1,1.0,2103,9.021433,9.021433,true,false,75
mag,1,1.0,5858,7.997295,7.997295,true,false,75
lok,1,1.0,14958,7.05996,7.05996,true,false,75
cycles,1,1.0,16947,6.935124,6.935124,true,false,75
butterfly,1,1.0,29313,6.387208,6.387208,true,false,75
clevis,66,5.189655,49,12.761006,66.225215,true,false,72
vane,590,7.380123,2685,8.777221,64.776963,true,false,72
coking,166,6.111988,697,10.12481,61.882714,true,false,72
stator,72,5.276666,458,10.543979,55.637055,true,false,72
axial,178,6.181784,5102,8.135445,50.29156,true,false,72
pneumatic,83,5.418841,3904,8.403016,45.534603,true,false,72
penetrant,15,3.70805,122,11.860845,43.980607,true,false,72
radial,79,5.369448,12577,7.233324,38.838958,true,false,72
combustion,32,4.465736,8002,7.685457,34.321222,true,false,72
solenoid,6,2.791759,732,10.075883,28.129442,true,false,72
gasket,5,2.609438,530,10.398267,27.133632,true,false,72
shim,6,2.791759,1574,9.311018,25.994124,true,false,72
benchwork,2,1.693147,7,14.593587,24.709091,true,false,72
unpreserved,2,1.693147,60,12.562155,21.269577,true,false,72
resonance,6,2.791759,10081,7.454522,20.811232,true,false,72
trim,6,2.791759,12317,7.254212,20.252015,true,false,72
bonding,4,2.386294,6161,7.946872,18.963576,true,false,72
fretting,2,1.693147,285,11.017037,18.653465,true,false,72
elastomer,2,1.693147,351,10.809398,18.301901,true,false,72
multicrack,1,1.0,0,16.673029,16.673029,false,false,72
valvelock,1,1.0,0,16.673029,16.673029,false,false,72
bearingmovement,1,1.0,0,16.673029,16.673029,false,false,72
assymount,1,1.0,0,16.673029,16.673029,false,false,72
linkbearing,1,1.0,0,16.673029,16.673029,false,false,72
limitoil,1,1.0,0,16.673029,16.673029,false,false,72
blended,3,2.098612,7534,7.745715,16.255252,true,false,72
clampshell,1,1.0,1,15.979882,15.979882,true,true,72
splitline,1,1.0,1,15.979882,15.979882,true,true,72
impingement,1,1.0,397,10.686577,10.686577,true,false,72
micrometer,1,1.0,682,10.146534,10.146534,true,false,72
burner,1,1.0,3190,8.604939,8.604939,true,false,72
grounding,1,1.0,3594,8.48573,8.48573,true,false,72
composite,1,1.0,20962,6.722515,6.722515,true,false,72
nondestructive,68,5.219508,321,10.898477,56.884687,true,false,70
innerskin,6,2.791759,0,16.673029,46.547086,false,false,70
datum,26,4.258097,1189,9.59132,40.840768,true,false,70
regulator,59,5.077537,7991,7.686833,39.03018,true,false,70
lubrication,18,3.890372,1854,9.147389,35.586744,true,false,70
ecxiter,3,2.098612,0,16.673029,34.990223,false,false,70
insulator,8,3.079442,1170,9.607416,29.585475,true,false,70
differential,22,4.091042,16916,6.936955,28.379376,true,false,70
anodisation,2,1.693147,0,16.673029,28.229892,false,false,70
anodized,4,2.386294,475,10.507611,25.074253,true,false,70
polytetrafluoroethylene,3,2.098612,180,11.474532,24.080594,true,false,70
delamination,3,2.098612,201,11.364761,23.850228,true,false,70
transmission,12,3.484907,41249,6.045623,21.06843,true,false,70
fillet,2,1.693147,617,10.24654,17.348901,true,false,70
hyudraulic,1,1.0,0,16.673029,16.673029,false,false,70
sumpflow,1,1.0,0,16.673029,16.673029,false,false,70
unservceable,1,1.0,0,16.673029,16.673029,false,false,70
deflectorplate,1,1.0,0,16.673029,16.673029,false,false,70
fueltube,1,1.0,0,16.673029,16.673029,false,false,70
suspensionpoint,1,1.0,0,16.673029,16.673029,false,false,70
drainplug,1,1.0,1,15.979882,15.979882,true,true,70
desiccant,1,1.0,141,11.717202,11.717202,true,false,70
driveshaft,1,1.0,546,10.36858,10.36858,true,false,70
cadmium,1,1.0,1886,9.130285,9.130285,true,false,70
mechanical,1,1.0,56741,5.726759,5.726759,true,false,70
circuit,1,1.0,75982,5.434764,5.434764,true,false,70
flange,349,6.855072,1189,9.59132,65.749191,true,false,68
nozzle,343,6.83773,1736,9.213114,62.996791,true,false,68
anodization,29,4.367296,18,13.72859,59.956814,true,false,68
deflector,49,4.89182,371,10.754135,52.607296,true,false,68
anodize,11,3.397895,9,14.370444,48.829263,true,false,68
strut,92,5.521789,3287,8.574994,47.349305,true,false,68
clearance,218,6.384495,14644,7.081175,45.209725,true,false,68
actuator,18,3.890372,804,9.982187,38.834417,true,false,68
reinspection,6,2.791759,24,13.454153,37.560759,true,false,68
arcing,10,3.302585,508,10.440581,34.480907,true,false,68
isolator,5,2.609438,169,11.53723,30.105687,true,false,68
pretwist,2,1.693147,0,16.673029,28.229892,false,false,68
sealant,5,2.609438,393,10.696678,27.912317,true,false,68
corossion,2,1.693147,1,15.979882,27.056292,true,true,68
transmitter,15,3.70805,17531,6.901246,25.590166,true,false,68
coupling,7,2.94591,6980,7.822081,23.043149,true,false,68
dampeners,2,1.693147,55,12.647677,21.414379,true,false,68
burr,5,2.609438,5956,7.980707,20.825158,true,false,68
reducer,2,1.693147,250,11.147576,18.874487,true,false,68
toque,2,1.693147,323,10.892285,18.442242,true,false,68
benchcheck,1,1.0,0,16.673029,16.673029,false,false,68
rubberdampener,1,1.0,0,16.673029,16.673029,false,false,68
ignitionsystem,1,1.0,0,16.673029,16.673029,false,false,68
coatingpitting,1,1.0,0,16.673029,16.673029,false,false,68
overhoal,1,1.0,0,16.673029,16.673029,false,false,68
nzzl,1,1.0,0,16.673029,16.673029,false,false,68
lockspacer,1,1.0,0,16.673029,16.673029,false,false,68
sealmaterial,1,1.0,0,16.673029,16.673029,false,false,68
cumbustion,1,1.0,1,15.979882,15.979882,true,true,68
labyrith,1,1.0,1,15.979882,15.979882,true,true,68
harnesse,1,1.0,1,15.979882,15.979882,true,true,68
excitor,1,1.0,5,14.881269,14.881269,true,false,68
actuation,1,1.0,609,10.25957,10.25957,true,false,68
couplings,1,1.0,1024,9.740581,9.740581,true,false,68
concentric,1,1.0,4095,8.355263,8.355263,true,false,68
deformation,1,1.0,4322,8.301324,8.301324,true,false,68
static,1,1.0,18032,6.87307,6.87307,true,false,68
exciter,351,6.860786,280,11.034674,75.706541,true,false,65
excentricity,41,4.713572,5,14.881269,70.143936,true,false,65
hydr,37,4.610918,18,13.72859,63.301401,true,false,65
hydromechanical,50,4.912023,52,12.702737,62.396136,true,false,65
compressor,454,7.118097,2901,8.699873,61.926545,true,false,65
altenator,13,3.564949,0,16.673029,59.438504,false,false,65
shroud,192,6.257495,1908,9.118694,57.060186,true,false,65
lug,137,5.919981,1394,9.432379,55.839505,true,false,65
valve,618,7.426488,12239,7.260564,53.920497,true,false,65
debonding,16,3.772589,34,13.117681,49.487615,true,false,65
corrosion,132,5.882802,4963,8.163062,48.021675,true,false,65
filterbowl,6,2.791759,0,16.673029,46.547086,false,false,65
seal,465,7.142037,30597,6.344339,45.311506,true,false,65
circumferential,30,4.401197,675,10.156836,44.702239,true,false,65
alternator,34,4.526361,1137,9.636001,43.616016,true,false,65
stopnut,5,2.609438,0,16.673029,43.507234,false,false,65
erosion,161,6.081404,15685,7.012505,42.645879,true,false,65
bolthead,6,2.791759,6,14.727119,41.114573,true,false,65
bulletin,169,6.129899,25830,6.513698,39.928311,true,false,65
convex,63,5.143135,8954,7.573062,38.949276,true,false,65
torque,51,4.931826,6920,7.830713,38.619713,true,false,65
pitting,30,4.401197,2869,8.710962,38.338661,true,false,65
inlet,57,5.043051,10210,7.441808,37.52942,true,false,65
boot,63,5.143135,14094,7.119453,36.616308,true,false,65
nut,37,4.610918,7570,7.740948,35.692878,true,false,65
supplytube,3,2.098612,0,16.673029,34.990223,false,false,65
ballbearing,4,2.386294,7,14.593587,34.824595,true,false,65
magnetic,63,5.143135,21174,6.712452,34.523047,true,false,65
bushings,8,3.079442,302,10.959296,33.748512,true,false,65
nipple,11,3.397895,1090,9.678179,32.885438,true,false,65
excit,3,2.098612,2,15.574417,32.684662,true,true,65
rivet,10,3.302585,938,9.828213,32.458511,true,false,65
receptical,3,2.098612,3,15.286735,32.080929,true,true,65
swirl,10,3.302585,1279,9.518414,31.435371,true,false,65
exchanger,9,3.197225,1063,9.703238,31.023432,true,false,65
shaft,31,4.433987,16238,6.977858,30.939732,true,false,65
contamination,22,4.091042,9433,7.520953,30.76854,true,false,65
retainer,11,3.397895,2112,9.017165,30.639382,true,false,65
boltholes,3,2.098612,9,14.370444,30.15799,true,false,65
oxidation,17,3.833213,6857,7.839858,30.051847,true,false,65
housing,153,6.030438,128172,4.911893,29.620864,true,false,65
skin,58,5.060443,52301,5.808239,29.392262,true,false,65
isolation,26,4.258097,22029,6.672868,28.413718,true,false,65
bypass,22,4.091042,17434,6.906794,28.255987,true,false,65
groundcable,2,1.693147,0,16.673029,28.229892,false,false,65
hydrulic,2,1.693147,0,16.673029,28.229892,false,false,65
leverarm,2,1.693147,0,16.673029,28.229892,false,false,65
abradeble,2,1.693147,0,16.673029,28.229892,false,false,65
circumcential,2,1.693147,0,16.673029,28.229892,false,false,65
spectacle,13,3.564949,6746,7.856176,28.006868,true,false,65
silicone,7,2.94591,1536,9.335441,27.501371,true,false,65
cycle,53,4.970292,73617,5.466384,27.169524,true,false,65
errosion,2,1.693147,1,15.979882,27.056292,true,true,65
shealth,2,1.693147,1,15.979882,27.056292,true,true,65
resistence,2,1.693147,1,15.979882,27.056292,true,true,65
interlock,5,2.609438,625,10.233679,26.704149,true,false,65
specification,15,3.70805,15319,7.036114,26.090266,true,false,65
blad,4,2.386294,331,10.867894,25.933994,true,false,65
assembly,114,5.736198,194746,4.493572,25.776023,true,false,65
volatile,10,3.302585,7826,7.707694,25.455316,true,false,65
oilsystem,2,1.693147,6,14.727119,24.93518,true,false,65
varnish,5,2.609438,1329,9.480095,24.737718,true,false,65
tooling,5,2.609438,1783,9.186416,23.971381,true,false,65
stud,8,3.079442,8226,7.657852,23.581908,true,false,65
gearboxes,4,2.386294,947,9.818674,23.430247,true,false,65
distortion,7,2.94591,7256,7.783307,22.928923,true,false,65
fitting,9,3.197225,16840,6.941457,22.193398,true,false,65
braiding,3,2.098612,501,10.454429,21.939793,true,false,65
dovetail,3,2.098612,517,10.423054,21.873948,true,false,65
boss,12,3.484907,39837,6.080452,21.189809,true,false,65
disassembly,3,2.098612,923,9.844317,20.659404,true,false,65
overhaul,6,2.791759,11058,7.362029,20.553014,true,false,65
axle,5,2.609438,8186,7.662726,19.995408,true,false,65
elongation,3,2.098612,1810,9.171394,19.247201,true,false,65
brading,2,1.693147,241,11.184091,18.936312,true,false,65
deflection,3,2.098612,2485,8.854599,18.582369,true,false,65
craze,3,2.098612,3033,8.655392,18.164311,true,false,65
tubing,3,2.098612,3186,8.606194,18.061064,true,false,65
busing,2,1.693147,779,10.013735,16.954727,true,false,65
dampen,2,1.693147,822,9.960073,16.863869,true,false,65
altinator,1,1.0,0,16.673029,16.673029,false,false,65
damperner,1,1.0,0,16.673029,16.673029,false,false,65
bearring,1,1.0,0,16.673029,16.673029,false,false,65
ignitiom,1,1.0,0,16.673029,16.673029,false,false,65
pmeumatic,1,1.0,0,16.673029,16.673029,false,false,65
turnbuckel,1,1.0,0,16.673029,16.673029,false,false,65
hydrualic,1,1.0,0,16.673029,16.673029,false,false,65
fuelhose,1,1.0,0,16.673029,16.673029,false,false,65
preumatic,1,1.0,0,16.673029,16.673029,false,false,65
oilsensor,1,1.0,0,16.673029,16.673029,false,false,65
coatingparent,1,1.0,0,16.673029,16.673029,false,false,65
draintube,1,1.0,0,16.673029,16.673029,false,false,65
ecentricity,1,1.0,0,16.673029,16.673029,false,false,65
exentricitie,1,1.0,0,16.673029,16.673029,false,false,65
exentric,1,1.0,0,16.673029,16.673029,false,false,65
dampenere,1,1.0,0,16.673029,16.673029,false,false,65
danpener,1,1.0,0,16.673029,16.673029,false,false,65
heatexchanger,1,1.0,0,16.673029,16.673029,false,false,65
wornball,1,1.0,0,16.673029,16.673029,false,false,65
vlave,1,1.0,0,16.673029,16.673029,false,false,65
sulpidation,1,1.0,0,16.673029,16.673029,false,false,65
connctor,1,1.0,0,16.673029,16.673029,false,false,65
bushinghave,1,1.0,0,16.673029,16.673029,false,false,65
