Word,Rating 1,Rating 2,Rating 3,consensus,mean_rating,max_disagreement
titanium,2,2,2,2,2.0,0
hangar,1,1,2,1,1.3333333333333333,1
boeing,1,1,1,1,1.0,0
skydrol,1,1,1,1,1.0,0
locknut,2,2,2,2,2.0,0
flight,1,1,1,1,1.0,0
pressurisation,2,2,2,2,2.0,0
nacelle,1,2,2,2,1.6666666666666667,1
placard,4,,4,4,4.0,0
millimeter,4,4,4,4,4.0,0
hydromechanical,2,2,2,2,2.0,0
borescope,2,2,2,2,2.0,0
aft,2,1,2,2,1.6666666666666667,1
airfoil,1,2,2,2,1.6666666666666667,1
circumferential,2,2,2,2,2.0,0
ignitor,2,2,2,2,2.0,0
outerskin,2,2,3,2,2.3333333333333335,1
labyrinth,4,3,4,4,3.6666666666666665,1
disbonding,2,2,2,2,2.0,0
gearbox,2,2,2,2,2.0,0
disassembly,2,3,2,2,2.3333333333333335,1
fretting,2,2,,2,2.0,0
lockring,2,3,2,2,2.3333333333333335,1
midspan,2,2,1,2,1.6666666666666667,1
inflight,1,1,1,1,1.0,0
extinguisher,3,3,4,3,3.3333333333333335,1
spinnercone,1,1,,1,1.0,0
stator,2,1,1,1,1.3333333333333333,1
debonding,2,2,3,2,2.3333333333333335,1
engine,2,2,2,2,2.0,0
bolthead,2,2,2,2,2.0,0
inlet,2,2,2,2,2.0,0
rivet,2,2,2,2,2.0,0
reverser,3,3,4,3,3.3333333333333335,1
anodizing,2,2,2,2,2.0,0
shim,2,2,2,2,2.0,0
sulphidation,2,2,2,2,2.0,0
pylon,2,2,2,2,2.0,0
burr,2,2,,2,2.0,0
overhaul,2,3,2,2,2.3333333333333335,1
hanger,2,1,1,1,1.3333333333333333,1
doubler,,,,,,
blades,1,1,2,1,1.3333333333333333,1
elastomer,2,2,2,2,2.0,0
baffle,2,2,2,2,2.0,0
arrival,4,4,4,4,4.0,0
helicoil,,2,2,2,2.0,0
wing,4,4,3,4,3.6666666666666665,1
viton,,,,,,
grommet,,,2,2,2.0,0
discolouration,2,2,2,2,2.0,0
impingement,3,,2,3,2.5,1
actuation,2,2,2,2,2.0,0
couplings,3,2,2,2,2.3333333333333335,1
irreparable,3,3,3,3,3.0,0
quadrant,3,3,,3,3.0,0
compressor,2,2,2,2,2.0,0
shroud,2,2,2,2,2.0,0
finding,3,3,3,3,3.0,0
bushings,2,2,2,2,2.0,0
specification,3,3,3,3,3.0,0
spool,2,2,2,2,2.0,0
anodized,2,2,2,2,2.0,0
concentricity,,2,2,2,2.0,0
loosening,3,2,2,2,2.3333333333333335,1
pedestal,4,4,4,4,4.0,0
turbine,2,2,2,2,2.0,0
repairable,2,2,2,2,2.0,0
manifold,2,2,,2,2.0,0
shopvisit,2,2,1,2,1.6666666666666667,1
indicator,4,3,3,3,3.3333333333333335,1
arrestor,1,2,,1,1.5,1
cowl,3,4,3,3,3.3333333333333335,1
core,4,4,4,4,4.0,0
chord,1,1,2,1,1.3333333333333333,1
tooling,3,2,2,2,2.3333333333333335,1
tubing,3,2,2,2,2.3333333333333335,1
grooving,3,2,2,2,2.3333333333333335,1
fillet,2,2,,2,2.0,0
birdcage,,,1,1,1.0,0
collar,4,4,4,4,4.0,0
vane,2,2,2,2,2.0,0
deflector,2,2,2,2,2.0,0
replaceable,4,4,3,4,3.6666666666666665,1
generator,2,2,2,2,2.0,0
alternator,2,2,2,2,2.0,0
dimensional,4,4,3,4,3.6666666666666665,1
spacer,2,2,,2,2.0,0
ceramic,4,4,4,4,4.0,0
stud,2,2,2,2,2.0,0
dampeners,2,2,2,2,2.0,0
protrusion,,4,,4,4.0,0
scallop,4,4,4,4,4.0,0
hinge,2,3,2,2,2.3333333333333335,1
nozzle,2,2,2,2,2.0,0
igniter,2,2,2,2,2.0,0
blade,2,2,1,2,1.6666666666666667,1
spinner,1,2,2,2,1.6666666666666667,1
containment,,3,2,3,2.5,1
maintenance,4,4,3,4,3.6666666666666665,1
booster,1,1,2,1,1.3333333333333333,1
starter,2,2,2,2,2.0,0
exhaust,2,2,2,2,2.0,0
fan,2,1,1,1,1.3333333333333333,1
bulletin,4,4,4,4,4.0,0
electrical,3,4,4,4,3.6666666666666665,1
lubrication,2,2,2,2,2.0,0
splitter,,1,2,1,1.5,1
adapter,4,4,3,4,3.6666666666666665,1
isolator,3,3,2,3,2.6666666666666665,1
receptacle,2,,2,2,2.0,0
bypass,1,1,3,1,1.6666666666666667,2
cotter,2,2,,2,2.0,0
vanes,2,2,2,2,2.0,0
camber,2,1,1,1,1.3333333333333333,1
passenger,4,4,4,4,4.0,0
clearance,2,2,1,2,1.6666666666666667,1
cocking,,,,,,
regulator,2,3,2,2,2.3333333333333335,1
bearing,2,2,2,2,2.0,0
circumference,2,2,2,2,2.0,0
